Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
10/9/2024 18:40:00,Violetly Gay (F24),2,Wet Dreams (F24),2,,,8
10/9/2024 19:00:00,Cardinal Sinners (F24),3,Winona Ride Her (F24),3,,,8
10/9/2024 19:00:00,The Blue Ballers (F24),4,Urine Trouble (F24),1,,,8
10/9/2024 19:20:00,Naughty Hotties (F24),2,Twerkoise (F24),1,,,8
10/9/2024 19:20:00,Queermint (F24),6,Lime and Punishment (F24),0,,,8
10/9/2024 19:40:00,Urine Trouble (F24),0,Froggays (F24),4,,,8
10/9/2024 19:40:00,Winona Ride Her (F24),1,Violetly Gay (F24),3,,,8
10/9/2024 20:00:00,Clementops (F24),3,Wet Dreams (F24),2,,,8
10/9/2024 20:00:00,The Blue Ballers (F24),4,Lime and Punishment (F24),1,,,8
10/9/2024 20:20:00,Queermint (F24),2,Naughty Hotties (F24),2,,,8
10/9/2024 20:20:00,Twerkoise (F24),3,Cardinal Sinners (F24),2,,,8
10/9/2024 20:40:00,Cuntolina Panthers (F24),2,Washington Formanders (F24),1,,,6
10/9/2024 20:40:00,Mean Gay Packers (F24),3,Vikinks (F24),1,,,6
10/9/2024 21:00:00,Cuntolina Panthers (F24),3,Vikinks (F24),1,,,6
10/9/2024 21:00:00,Edgar Allen Hoes (F24),3,Gay Sharks (F24),2,,,6
10/9/2024 21:20:00,Mean Gay Packers (F24),4,Gay Sharks (F24),1,,,6
10/9/2024 21:20:00,Washington Formanders (F24),0,Edgar Allen Hoes (F24),4,,,6
10/16/2024 18:40:00,Lime and Punishment (F24),1,Urine Trouble (F24),4,,,8
10/16/2024 18:40:00,Naughty Hotties (F24),3,The Blue Ballers (F24),1,,,8
10/16/2024 19:00:00,Cardinal Sinners (F24),3,Queermint (F24),2,,,8
10/16/2024 19:00:00,Violetly Gay (F24),2,Twerkoise (F24),3,,,8
10/16/2024 19:20:00,Froggays (F24),4,Lime and Punishment (F24),1,,,8
10/16/2024 19:20:00,Wet Dreams (F24),2,Winona Ride Her (F24),2,,,8
10/16/2024 19:40:00,Clementops (F24),3,Urine Trouble (F24),1,,,8
10/16/2024 19:40:00,The Blue Ballers (F24),1,Cardinal Sinners (F24),3,,,8
10/16/2024 20:00:00,Froggays (F24),1,Naughty Hotties (F24),4,,,8
10/16/2024 20:00:00,Queermint (F24),3,Violetly Gay (F24),3,,,8
10/16/2024 20:20:00,Twerkoise (F24),3,Wet Dreams (F24),1,,,8
10/16/2024 20:20:00,Winona Ride Her (F24),4,Clementops (F24),0,,,8
10/16/2024 20:40:00,Vikinks (F24),2,Gay Sharks (F24),2,,,6
10/16/2024 20:40:00,Washington Formanders (F24),1,Mean Gay Packers (F24),3,,,6
10/16/2024 21:00:00,Cuntolina Panthers (F24),1,Edgar Allen Hoes (F24),4,,,6
10/16/2024 21:00:00,Washington Formanders (F24),0,Vikinks (F24),4,,,6
10/16/2024 21:20:00,Gay Sharks (F24),3,Cuntolina Panthers (F24),1,,,6
10/16/2024 21:20:00,Mean Gay Packers (F24),3,Edgar Allen Hoes (F24),1,,,
10/23/2024 18:40:00,Cardinal Sinners (F24),2,Froggays (F24),2,,,8
10/23/2024 18:40:00,Wet Dreams (F24),3,Queermint (F24),4,,,8
10/23/2024 19:00:00,Naughty Hotties (F24),3,Urine Trouble (F24),1,,,8
10/23/2024 19:00:00,Violetly Gay (F24),1,The Blue Ballers (F24),5,,,8
10/23/2024 19:20:00,Queermint (F24),3,Winona Ride Her (F24),5,,,8
10/23/2024 19:20:00,Twerkoise (F24),4,Clementops (F24),0,,,8
10/23/2024 19:40:00,Froggays (F24),3,Violetly Gay (F24),2,,,8
10/23/2024 19:40:00,Lime and Punishment (F24),2,Naughty Hotties (F24),1,,,8
10/23/2024 20:00:00,The Blue Ballers (F24),1,Wet Dreams (F24),3,,,8
10/23/2024 20:00:00,Urine Trouble (F24),3,Cardinal Sinners (F24),1,,,8
10/23/2024 20:20:00,Clementops (F24),1,Lime and Punishment (F24),3,,,8
